t,theta1,theta2,x1,y1,x2,y2
0.000000e+000,3.141593e-002,3.141593e-002,3.141076e-002,-9.995066e-001,6.282152e-002,-1.999013e+000
2.000000e-002,3.135433e-002,3.141589e-002,3.134919e-002,-9.995085e-001,6.275991e-002,-1.999015e+000
4.000000e-002,3.117002e-002,3.141528e-002,3.116497e-002,-9.995143e-001,6.257509e-002,-1.999021e+000
6.000000e-002,3.086444e-002,3.141268e-002,3.085954e-002,-9.995237e-001,6.226705e-002,-1.999030e+000
8.000000e-002,3.043997e-002,3.140569e-002,3.043527e-002,-9.995367e-001,6.183580e-002,-1.999044e+000
1.000000e-001,2.989992e-002,3.139106e-002,2.989547e-002,-9.995530e-001,6.128137e-002,-1.999060e+000
1.200000e-001,2.924847e-002,3.136466e-002,2.924430e-002,-9.995723e-001,6.060381e-002,-1.999080e+000
1.400000e-001,2.849061e-002,3.132159e-002,2.848676e-002,-9.995942e-001,5.980323e-002,-1.999104e+000
1.600000e-001,2.763212e-002,3.125625e-002,2.762861e-002,-9.996183e-001,5.887977e-002,-1.999130e+000
1.800000e-001,2.667948e-002,3.116243e-002,2.667631e-002,-9.996441e-001,5.783370e-002,-1.999159e+000
2.000000e-001,2.563978e-002,3.103339e-002,2.563697e-002,-9.996713e-001,5.666539e-002,-1.999190e+000
2.200000e-001,2.452068e-002,3.086200e-002,2.451822e-002,-9.996994e-001,5.537532e-002,-1.999223e+000
2.400000e-001,2.333026e-002,3.064083e-002,2.332815e-002,-9.997279e-001,5.396419e-002,-1.999258e+000
2.600000e-001,2.207702e-002,3.036228e-002,2.207522e-002,-9.997563e-001,5.243284e-002,-1.999295e+000
2.800000e-001,2.076966e-002,3.001872e-002,2.076817e-002,-9.997843e-001,5.078238e-002,-1.999334e+000
3.000000e-001,1.941711e-002,2.960259e-002,1.941589e-002,-9.998115e-001,4.901415e-002,-1.999373e+000
3.200000e-001,1.802832e-002,2.910654e-002,1.802735e-002,-9.998375e-001,4.712978e-002,-1.999414e+000
3.400000e-001,1.661226e-002,2.852360e-002,1.661149e-002,-9.998620e-001,4.513123e-002,-1.999455e+000
3.600000e-001,1.517773e-002,2.784723e-002,1.517715e-002,-9.998848e-001,4.302077e-002,-1.999497e+000
3.800000e-001,1.373333e-002,2.707148e-002,1.373290e-002,-9.999057e-001,4.080107e-002,-1.999539e+000
4.000000e-001,1.228735e-002,2.619112e-002,1.228704e-002,-9.999245e-001,3.847517e-002,-1.999582e+000
4.200000e-001,1.084767e-002,2.520173e-002,1.084746e-002,-9.999412e-001,3.604651e-002,-1.999624e+000
4.400000e-001,9.421702e-003,2.409976e-002,9.421563e-003,-9.999556e-001,3.351899e-002,-1.999665e+000
4.600000e-001,8.016311e-003,2.288269e-002,8.016225e-003,-9.999679e-001,3.089692e-002,-1.999706e+000
4.800000e-001,6.637743e-003,2.154904e-002,6.637695e-003,-9.999780e-001,2.818507e-002,-1.999746e+000
5.000000e-001,5.291582e-003,2.009847e-002,5.291557e-003,-9.999860e-001,2.538867e-002,-1.999784e+000
5.200000e-001,3.982696e-003,1.853179e-002,3.982686e-003,-9.999921e-001,2.251342e-002,-1.999820e+000
5.400000e-001,2.715209e-003,1.685103e-002,2.715206e-003,-9.999963e-001,1.956544e-002,-1.999854e+000
5.600000e-001,1.492470e-003,1.505944e-002,1.492470e-003,-9.999989e-001,1.655134e-002,-1.999885e+000
5.800000e-001,3.170462e-004,1.316147e-002,3.170462e-004,-9.999999e-001,1.347814e-002,-1.999913e+000
6.000000e-001,-8.092854e-004,1.116280e-002,-8.092853e-004,-9.999997e-001,1.035328e-002,-1.999937e+000
6.200000e-001,-1.885526e-003,9.070266e-003,-1.885525e-003,-9.999982e-001,7.184616e-003,-1.999957e+000
6.400000e-001,-2.911439e-003,6.891840e-003,-2.911435e-003,-9.999958e-001,3.980350e-003,-1.999972e+000
6.600000e-001,-3.887517e-003,4.636560e-003,-3.887507e-003,-9.999924e-001,7.490359e-004,-1.999982e+000
6.800000e-001,-4.814946e-003,2.314459e-003,-4.814927e-003,-9.999884e-001,-2.500470e-003,-1.999986e+000
7.000000e-001,-5.695554e-003,-6.352655e-005,-5.695523e-003,-9.999838e-001,-5.759049e-003,-1.999984e+000
7.200000e-001,-6.531756e-003,-2.485654e-003,-6.531709e-003,-9.999787e-001,-9.017361e-003,-1.999976e+000
7.400000e-001,-7.326488e-003,-4.939488e-003,-7.326422e-003,-9.999732e-001,-1.226589e-002,-1.999961e+000
7.600000e-001,-8.083135e-003,-7.412017e-003,-8.083047e-003,-9.999673e-001,-1.549500e-002,-1.999940e+000
7.800000e-001,-8.805455e-003,-9.889788e-003,-8.805341e-003,-9.999612e-001,-1.869497e-002,-1.999912e+000
8.000000e-001,-9.497494e-003,-1.235903e-002,-9.497351e-003,-9.999549e-001,-2.185607e-002,-1.999879e+000
8.200000e-001,-1.016350e-002,-1.480582e-002,-1.016333e-002,-9.999484e-001,-2.496861e-002,-1.999839e+000
8.400000e-001,-1.080785e-002,-1.721618e-002,-1.080764e-002,-9.999416e-001,-2.802297e-002,-1.999793e+000
8.600000e-001,-1.143493e-002,-1.957628e-002,-1.143468e-002,-9.999346e-001,-3.100970e-002,-1.999743e+000
8.800000e-001,-1.204907e-002,-2.187251e-002,-1.204878e-002,-9.999274e-001,-3.391954e-002,-1.999688e+000
9.000000e-001,-1.265446e-002,-2.409169e-002,-1.265412e-002,-9.999199e-001,-3.674348e-002,-1.999630e+000
9.200000e-001,-1.325504e-002,-2.622117e-002,-1.325465e-002,-9.999122e-001,-3.947282e-002,-1.999568e+000
9.400000e-001,-1.385446e-002,-2.824896e-002,-1.385402e-002,-9.999040e-001,-4.209922e-002,-1.999505e+000
9.600000e-001,-1.445596e-002,-3.016385e-002,-1.445546e-002,-9.998955e-001,-4.461474e-002,-1.999441e+000
9.800000e-001,-1.506233e-002,-3.195555e-002,-1.506176e-002,-9.998866e-001,-4.701188e-002,-1.999376e+000
1.000000e+000,-1.567584e-002,-3.361477e-002,-1.567520e-002,-9.998771e-001,-4.928363e-002,-1.999312e+000
1.020000e+000,-1.629817e-002,-3.513330e-002,-1.629745e-002,-9.998672e-001,-5.142352e-002,-1.999250e+000
1.040000e+000,-1.693041e-002,-3.650411e-002,-1.692960e-002,-9.998567e-001,-5.342560e-002,-1.999190e+000
1.060000e+000,-1.757296e-002,-3.772142e-002,-1.757205e-002,-9.998456e-001,-5.528452e-002,-1.999134e+000
1.080000e+000,-1.822555e-002,-3.878071e-002,-1.822454e-002,-9.998339e-001,-5.699553e-002,-1.999082e+000
1.100000e+000,-1.888723e-002,-3.967880e-002,-1.888611e-002,-9.998216e-001,-5.855450e-002,-1.999035e+000
1.120000e+000,-1.955633e-002,-4.041382e-002,-1.955508e-002,-9.998088e-001,-5.995790e-002,-1.998992e+000
1.140000e+000,-2.023047e-002,-4.098527e-002,-2.022909e-002,-9.997954e-001,-6.120289e-002,-1.998956e+000
1.160000e+000,-2.090662e-002,-4.139394e-002,-2.090510e-002,-9.997815e-001,-6.228721e-002,-1.998925e+000
1.180000e+000,-2.158107e-002,-4.164193e-002,-2.157939e-002,-9.997671e-001,-6.320929e-002,-1.998900e+000
1.200000e+000,-2.224951e-002,-4.173258e-002,-2.224767e-002,-9.997525e-001,-6.396814e-002,-1.998882e+000
1.220000e+000,-2.290705e-002,-4.167042e-002,-2.290504e-002,-9.997376e-001,-6.456340e-002,-1.998870e+000
1.240000e+000,-2.354829e-002,-4.146109e-002,-2.354611e-002,-9.997228e-001,-6.499532e-002,-1.998863e+000
1.260000e+000,-2.416738e-002,-4.111126e-002,-2.416503e-002,-9.997080e-001,-6.526471e-002,-1.998863e+000
1.280000e+000,-2.475811e-002,-4.062852e-002,-2.475558e-002,-9.996935e-001,-6.537292e-002,-1.998868e+000
1.300000e+000,-2.531394e-002,-4.002129e-002,-2.531124e-002,-9.996796e-001,-6.532185e-002,-1.998879e+000
1.320000e+000,-2.582814e-002,-3.929869e-002,-2.582527e-002,-9.996665e-001,-6.511384e-002,-1.998894e+000
1.340000e+000,-2.629385e-002,-3.847040e-002,-2.629082e-002,-9.996543e-001,-6.475174e-002,-1.998914e+000
1.360000e+000,-2.670417e-002,-3.754658e-002,-2.670100e-002,-9.996435e-001,-6.423876e-002,-1.998939e+000
1.380000e+000,-2.705226e-002,-3.653769e-002,-2.704896e-002,-9.996341e-001,-6.357851e-002,-1.998967e+000
1.400000e+000,-2.733143e-002,-3.545435e-002,-2.732803e-002,-9.996265e-001,-6.277495e-002,-1.998998e+000
1.420000e+000,-2.753526e-002,-3.430726e-002,-2.753179e-002,-9.996209e-001,-6.183232e-002,-1.999032e+000
1.440000e+000,-2.765766e-002,-3.310700e-002,-2.765413e-002,-9.996176e-001,-6.075509e-002,-1.999070e+000
1.460000e+000,-2.769295e-002,-3.186395e-002,-2.768941e-002,-9.996166e-001,-5.954797e-002,-1.999109e+000
1.480000e+000,-2.763598e-002,-3.058813e-002,-2.763247e-002,-9.996182e-001,-5.821583e-002,-1.999150e+000
1.500000e+000,-2.748222e-002,-2.928909e-002,-2.747876e-002,-9.996224e-001,-5.676366e-002,-1.999193e+000
1.520000e+000,-2.722777e-002,-2.797581e-002,-2.722440e-002,-9.996293e-001,-5.519656e-002,-1.999238e+000
1.540000e+000,-2.686947e-002,-2.665660e-002,-2.686624e-002,-9.996390e-001,-5.351968e-002,-1.999284e+000
1.560000e+000,-2.640498e-002,-2.533899e-002,-2.640191e-002,-9.996514e-001,-5.173818e-002,-1.999330e+000
1.580000e+000,-2.583276e-002,-2.402966e-002,-2.582989e-002,-9.996664e-001,-4.985724e-002,-1.999378e+000
1.600000e+000,-2.515217e-002,-2.273441e-002,-2.514952e-002,-9.996837e-001,-4.788198e-002,-1.999425e+000
1.620000e+000,-2.436348e-002,-2.145805e-002,-2.436107e-002,-9.997032e-001,-4.581748e-002,-1.999473e+000
1.640000e+000,-2.346786e-002,-2.020441e-002,-2.346571e-002,-9.997246e-001,-4.366874e-002,-1.999521e+000
1.660000e+000,-2.246743e-002,-1.897629e-002,-2.246554e-002,-9.997476e-001,-4.144069e-002,-1.999568e+000
1.680000e+000,-2.136520e-002,-1.777549e-002,-2.136358e-002,-9.997718e-001,-3.913813e-002,-1.999614e+000
1.700000e+000,-2.016513e-002,-1.660278e-002,-2.016377e-002,-9.997967e-001,-3.676578e-002,-1.999659e+000
1.720000e+000,-1.887203e-002,-1.545794e-002,-1.887090e-002,-9.998219e-001,-3.432823e-002,-1.999702e+000
